sample,field,id,z,z_type,logM,logM_elo,logM_ehi,av,av_code,av_fast,logssfr,logage_lw,logage_fit,uv,vj,quiescent_uvj,re_arcsec,re_kpc,band,lam_rest_A,re_5000_kpc,q,n,n_err,flag,primary,re_limit
LEGA-C,COSMOS,36056,0.7343,spec,10.676,0.0500000000000007,0.08,0.112,MAGPHYS (de Graaff+21),0.6,-10.42,0.4420000000000001,0.4420000000000001,1.5823344451123482,1.1388345898880607,False,0.9569,6.9664592952957465,F814W,4693.536297065099,6.857165761636314,0.5062,2.9949,0.5151,0.0,1.0,0.0
LEGA-C,COSMOS,36550,0.7387,spec,10.539,0.0,0.0199999999999995,0.126,MAGPHYS (de Graaff+21),0.1,-11.62,0.4320000000000004,0.4320000000000004,1.907933388747301,0.9699051738710665,True,0.1605,1.171117464967688,F814W,4681.658710530856,1.1520143643660292,0.9383,4.6126,0.7934,0.0,1.0,0.0
LEGA-C,COSMOS,36596,0.933,spec,11.261,0.0,0.0,1.186,MAGPHYS (de Graaff+21),0.8,-11.32,0.6470000000000002,0.6470000000000002,2.1577904583847936,1.4250722968792782,True,0.5015,3.946535537317517,F814W,4211.07087428867,3.780695100444509,0.2313,1.6471,0.2833,0.0,1.0,0.0
LEGA-C,COSMOS,36641,0.7747,spec,11.023,0.08,0.0600000000000005,0.328,MAGPHYS (de Graaff+21),0.8,-10.42,0.4570000000000007,0.4570000000000007,1.6499290438984595,1.345694795379898,False,0.8223,6.105428660257902,F814W,4586.690708288725,5.975146031717288,0.7214,3.3705,0.5797,0.0,1.0,0.0
LEGA-C,COSMOS,36649,0.6768,spec,10.959,0.0999999999999996,0.0500000000000007,1.114,MAGPHYS (de Graaff+21),1.4,-10.02,0.3070000000000004,0.3070000000000004,1.6937129496038692,1.472633640399116,False,0.6599,4.651342020206851,F814W,4854.484732824428,4.617124217626454,0.4762,1.9558,0.3364,0.0,1.0,0.0
LEGA-C,COSMOS,36761,0.9693,spec,10.844,0.0399999999999991,0.0700000000000002,0.448,MAGPHYS (de Graaff+21),0.7,-9.725,0.1869999999999994,0.1869999999999994,1.2990654689450158,1.217243542815448,False,0.7668,6.094576046318098,F814W,4133.448433453511,5.811378071798168,0.5937,2.1778,0.3746,0.0,1.0,0.0
LEGA-C,COSMOS,37023,0.7356,spec,11.259,0.1699999999999999,0.0,1.169,MAGPHYS (de Graaff+21),0.7,-11.42,0.6419999999999995,0.6419999999999995,2.052309793741771,1.305564040461349,True,1.077,7.846068177824762,F814W,4690.020742106476,7.721528297258759,0.6027,4.0502,0.6966,0.0,1.0,0.0
LEGA-C,COSMOS,37041,0.8354,spec,10.762,0.0,0.2699999999999996,0.288,MAGPHYS (de Graaff+21),0.0,-10.97,0.1120000000000001,0.1120000000000001,1.6291133076057864,0.8333221702194225,True,0.3955,3.012411974333988,F814W,4435.000544840362,2.9234473954895432,0.5126,4.9638,0.8538,0.0,1.0,0.0
LEGA-C,COSMOS,37064,0.8289,spec,10.945,0.0199999999999995,0.1099999999999994,0.164,MAGPHYS (de Graaff+21),0.3,-10.87,0.5020000000000007,0.5020000000000007,1.829175675729687,1.1849251357102244,True,0.4589,3.486507215279353,F814W,4450.762753567718,3.386543655932823,0.8763,4.4388,0.7635,0.0,1.0,0.0
LEGA-C,COSMOS,37219,0.7348,spec,10.701,0.0700000000000002,0.08,0.5,MAGPHYS (de Graaff+21),0.4,-11.42,0.5470000000000006,0.5470000000000006,1.934619946823166,1.0427120562476029,True,0.3144,2.2894969733302,F814W,4692.1835370071485,2.253415724365734,0.5636,3.6149,0.6218,0.0,1.0,0.0
LEGA-C,COSMOS,37384,0.879,spec,11.021,0.0,0.0,0.059,MAGPHYS (de Graaff+21),0.3,-11.42,0.5269999999999992,0.5269999999999992,1.88829386027998,1.071423073580921,True,0.4096,3.1692971025601464,F814W,4332.091538052156,3.057699897636505,0.2687,2.0172,0.347,0.0,1.0,0.0
LEGA-C,COSMOS,37723,0.7361,spec,10.753,0.0,0.0,0.028,MAGPHYS (de Graaff+21),0.0,-11.77,0.4269999999999996,0.4269999999999996,2.0334161262491843,1.0945647557466749,True,0.3143,2.2902996991343985,F814W,4688.670007488048,2.253783691066402,0.378,2.8717,0.4939,0.0,1.0,0.0
